"names","type"
"registration","politics"
"regulate","politics"
"representation","politics"
"republican","politics"
"rescindresignation","politics"
"resilience","politics"
"restrictions","politics"
"retort","politics"
"reveal","politics"
"revelations","politics"
"revenues","politics"
"rhetoric","politics"
"rollcall","politics"
"runoff","politics"
"scope","politics"
"senate","politics"
"seniority","politics"
"shiftshortcoming","politics"
"shuffle","politics"
"sidelines","politics"
"sinecure","politics"
"skill","politics"
"slate","politics"
"slogan","politics"
"solicitation","politics"
"solution","politics"
"spar","politics"
"spectacle","politics"
"speculate","politics"
"spending","politics"
"spin","politics"
"stakes","politics"
"stancestate’srights","politics"
"statute","politics"
"strategist","politics"
"strategy","politics"
"strawpoll","politics"
"stump","politics"
"subcommittee","politics"
"subjects","politics"
"success","politics"
"suffrage","politics"
"support","politics"
"system","politics"
"tactics","politics"
"tally","politics"
"taxpayerterm","politics"
"termlimit","politics"
"ticket","politics"
"topic","politics"
"trust","politics"
"turnout","politics"
"ultimate","politics"
"unanimous","politics"
"uncommitted","politics"
"unfair","politics"
"uniformity","politics"
"unity","politics"
"unknown","politics"
"unopposed","politics"
"unprecedented","politics"
"unwindupcoming","politics"
"upset","politics"
"vacancy","politics"
"veto","politics"
"viable","politics"
"victor","politics"
"victory","politics"
"vie","politics"
"viewpoint","politics"
"views","politics"
"violations","politics"
"vip","politics"
"volunteers","politics"
"voter","politics"
"vulnerability","politics"
"ward","politics"
"whistle-stop","politics"
"wild-card","politics"
"win","politics"
"winner","politics"
"withdraw","politics"
"withhold","politics"
"woo","politics"
"xenophobic","politics"
"yell","politics"
"yield","politics"
"zeal","politics"
"zealous","politics"
"zone","politics"
